Supplemental Data. Flowers et al. (2015). Plant Cell Plant Cell 10.1105/tpc.15.00492
Gene_ID	Transcript_ID	piN	piS	piNpiS	Nonsynonymous	Synonymous
Cre01.g009050	Cre01.g009050.t1.2	0.000288065310167121	0.00338534062874239	0.0850919720519036	1	4
Cre01.g009100	Cre01.g009100.t1.3	0.00432453986799617	0.0468102801103863	0.0923844048315497	16	50
Cre01.g009150	Cre01.g009150.t1.3	0.00841863581328732	0.0438508456643874	0.191983431236865	14	27
Cre01.g009200	Cre01.g009200.t1.2	0.00761071288425587	0.0540156998936609	0.140898162927424	19	51
Cre01.g009250	Cre01.g009250.t1.3	0.00359150702960588	0.0434398811560257	0.0826776439996705	44	182
Cre01.g009300	Cre01.g009300.t1.3	0.00387097815889815	0.0522166624171139	0.0741330062035802	25	158
Cre01.g009350	Cre01.g009350.t1.2	0.00018383094799573	0.0584410541200768	0.00314557892159199	1	51
Cre01.g009400	Cre01.g009400.t1.2	0.00232768143587279	0.069139801399254	0.0336663020252456	11	127
Cre01.g009450	Cre01.g009450.t1.3	0.00976214760142304	0.0547419934486658	0.178330144490947	23	43
Cre01.g009500	Cre01.g009500.t1.2	0.00579787110435197	0.0530550977359285	0.109280188931321	16	97
Cre01.g009550	Cre01.g009550.t1.3	0.0174804709605923	0.0473232381188998	0.369384506543542	59	79
Cre01.g009650	Cre01.g009650.t1.2	0.0199462730468948	0.0446882137646422	0.44634303693464	193	168
Cre01.g009700	Cre01.g009700.t1.3	0.0113924291938269	0.0548392397999265	0.207742288831695	162	292
Cre01.g009731	Cre01.g009731.t1.2	0.0191838925744295	0.0532477373953687	0.360276201634401	156	181
Cre01.g009750	Cre01.g009750.t1.3	0.0242064501166083	0.0669588907929241	0.361512113327396	170	196
Cre01.g009800	Cre01.g009800.t1.2	0.00279143120252516	0.0423225629369474	0.0659561002173679	9	52
Cre01.g009850	Cre01.g009850.t1.2	0.00433640418170663	0.0358593345252117	0.120928183389957	36	123
Cre01.g009900	Cre01.g009900.t1.3	0.00682352068078987	0.0442737853419064	0.154121013780387	15	44
Cre01.g009950	Cre01.g009950.t1.2	0	0.0502418983580086	0	0	29
Cre01.g010000	Cre01.g010000.t1.2	0.000607110687516424	0.0419147356385927	0.0144844212486797	1	41
Cre01.g010050	Cre01.g010050.t1.3	0.00994689503363612	0.0370566613018172	0.268423940101381	136	229
Cre01.g010100	Cre01.g010100.t1.2	0.0151658731024371	0.0552128394093265	0.274680187881722	40	58
Cre01.g010150	Cre01.g010150.t1.2	0.0137515412651095	0.0476208291423825	0.288771563048462	57	74
Cre01.g010250	Cre01.g010250.t1.3	0.0142939240544583	0.0544728939921105	0.262404344746738	161	269
Cre01.g010296	Cre01.g010296.t1.1	0.00991095925539646	0.0193736104297963	0.511570070602513	7	4
Cre01.g010300	Cre01.g010300.t1.2	0.00704429136621304	0.0411979939483898	0.170986271201401	11	18
Cre01.g010350	Cre01.g010350.t1.2	0.00983254474635764	0.0433995429231177	0.226558716615426	19	29
Cre01.g010400	Cre01.g010400.t1.2	0.00759462870141617	0.0478738721159086	0.158638279415307	6	18
Cre01.g010450	Cre01.g010450.t1.2	0.00293914610781585	0.063548988379829	0.0462500848990503	4	23
Cre01.g010500	Cre01.g010500.t1.2	0	0.0423489160955134	0	0	7
Cre01.g010650	Cre01.g010650.t1.2	0.00605749717279764	0.0332780387050616	0.182026868424679	77	187
Cre01.g010700	Cre01.g010700.t1.2	0.00291466786229708	0.0200792020887199	0.145158550096694	4	13
Cre01.g010750	Cre01.g010750.t1.2	0.00489386522123055	0.0436371877792935	0.112148959873	42	150
Cre01.g011050	Cre01.g011050.t1.2	0.0137622503276366	0.0182757441693722	0.753033649414963	6	2
Cre01.g011100	Cre01.g011100.t2.1	0.00314659755947289	0.0288146804997011	0.109201195533142	12	53
Cre01.g011150	Cre01.g011150.t1.3	0.0124878849974654	0.0386798717089587	0.32285228584595	91	107
Cre01.g011200	Cre01.g011200.t1.2	0.00238798636309634	0.0379624660035521	0.0629038788700635	2	17
Cre01.g011250	Cre01.g011250.t1.3	0.00853805271122488	0.043773316750597	0.195051536987049	38	84
Cre01.g011300	Cre01.g011300.t1.1	0.00328221559362709	0.0420565014380011	0.0780430012340819	13	55
Cre01.g011350	Cre01.g011350.t1.2	0.00116229721739702	0.0489367473778462	0.023751010839008	2	24
Cre01.g011400	Cre01.g011400.t2.1	0.0100696055137854	0.0453607974988776	0.221989163969936	153	263
Cre01.g011500	Cre01.g011500.t1.2	0.000764434806734586	0.0212073801333493	0.0360456973906214	1	14
Cre01.g011550	Cre01.g011550.t1.3	0.0110727864394993	0.0337533073927756	0.328050413272072	71	80
Cre01.g011600	Cre01.g011600.t1.2	0.00194844731604329	0.033311013805624	0.0584925852876422	13	80
